,,,,Please do not hide or move columns,,,,,,,,,,,,,,,,,,,,,,,,
,,,"Site name - Must match LOCATION in ""Hydrophone Locations (RKM)"" table (tab below). If new site must first enter new location in Hydrophone Locations table. Please consult with arnold.ammann@noaa.gov",Is data entry for the row complete?,Is the receiver in the water collecting data?,,When receiver goes in water. mm/dd/yyyy hh:mm in PST,When receiver is removed from water: mm/dd/yyyy hh:mm. In PST.,Date battery use begins. Battery connected and receiver turned on. dd/mm/yyyy hh:mm. In PST.,"Days since battery draw began. Enter this in column V ""=TODAY()-Uxxx""",Filename as output from receiver including extension,,Is this deployment about the same location as last time? If yes then do not enter any thing to right of this column. If no then enter new information in columns to right.,"WGS84 LAT/LONG in Decimal Degrees, Lon is negative. Location in water",,WGS84 LAT/LONG in Decimal Degrees and Lon is negative. Shore cable attachment,,"Receiver clock set and times recorded as UTC, GMT, PST, DST etc.(PST requested)",Sonar or depth sounder reading (M),Estimated hydrophone depth (M),"Beacon ID if present, in Hex format use dec2hex to convert.","Beacon ID if present, in decimal format, use hex2dec to convert.",Beacon Pulse Repetiton Interval (PRI or ping rate),"Substrate frame, weighted-bouy, piling, surface float, etc",Equipment placed in water by: (do not use commas),Equipment removed from water by:,Anything pertinent ,
Agency,Person Accountable,Region,LOCATION,ENTRY COMPLETE (Yes or No),DEPLOYED? ACTIVELY COLLECTING DATA? (yes or no),INSTRUMENT_SERIAL_NO.,IN_WATER_DATETIME,OUT_WATER_DATETIME,BattStart_DateTime,DAYS_SINCE_POWER_UP,FILENAME,MODEM_IP_ADDRESS,Y or N,HYDROPHONE_LATITUDE,HYDROPHONE_LONGITUDE,SHORE_POINT_LATITUDE,SHORE_POINT_LONGITUDE,RECEIVER_CLOCK_TIME_SYSTEM,BOTTOM_DEPTH(M),HYDROPHONE_DEPTH(M),BEACON_TAG_ID (Hex format),BEACON_TAG_ID (Dec format),BEACON_PRI (SECS),MOORING_METHOD,DEPLOYED_BY (do not use commas),RECOVERED_BY (do not use commas),NOTES_DEPLOYMENT_RECOVERY_DATA ,
CDFW,Burson,Amer R,AR_Sunrise,N,N,,,,,"45,351",,,,,,,,,,,,,,,,,,
CDFW,Burson,Amer R,AR_Howe_Watt,N,N,,,,,"45,351",,,,,,,,,,,,,,,,,,
CDFW,Burson,Amer R,AR_Upstream_Hwy80,N,N,,,,,"45,351",,,,,,,,,,,,,,,,,,
CDFW,Burson,Amer R,AR_Mouth4,N,N,,,,,"45,351",,,,,,,,,,,,,,,,,,
CDFW,Burson,Amer R,AR_Mouth3,N,N,,,,,"45,351",,,,,,,,,,,,,,,,,,
CDFW,Burson,Amer R,AR_Mouth1,N,N,,,,,"45,351",,,,,,,,,,,,,,,,,,
CDFW,Burson,Upper Sac R,GCID_Conf_RR,N,N,,,,,"45,351",,,,,,,,,,,,,,,,,,
CDFW,Burson,Upper Sac R,GCID_Conf_RR_downstream,N,N,,,,,"45,351",,,,,,,,,,,,,,,,,,
CDFW,Burson,Upper Sac R,GCID_blw_RL_2,N,N,,,,,"45,351",,,,,,,,,,,,,,,,,,
CDFW,Burson,Upper Sac R,GCID1,N,N,,,,,"45,351",,,,,,,,,,,,,,,,,,
CDFW,Burson,Upper Sac R,GCID2,N,N,,,,,"45,351",,,,,,,,,,,,,,,,,,
DWR West Sac,Finger,Yolo Bypass,ToeDrainRST,N,N,,,,,"45,351",,,,,,,,,,,,,,,,,,
DWR West Sac,Finger,Yolo Bypass,ToeDrainRST2,N,N,,,,,"45,351",,,,,,,,,,,,,,,,,,
DWR West Sac,Finger,Yolo Bypass,ToeDrainBase1,N,N,,,,,"45,351",,,,,,,,,,,,,,,,,,
DWR West Sac,Finger,Yolo Bypass,ToeDrainBase2,N,N,,,,,"45,351",,,,,,,,,,,,,,,,,,
DWR West Sac,Finger,Yolo Bypass,ToeDrainBase3,N,N,,,,,"45,351",,,,,,,,,,,,,,,,,,
EBMUD,Pearson,Lower Mok R,Mok_Vino_1,N,N,,,,,"45,351",,,,,,,,,,,,,,,,,,
EBMUD,Pearson,Lower Mok R,Mok_Vino_2,N,N,,,,,"45,351",,,,,,,,,,,,,,,,,,
EBMUD,Pearson,Lower Mok R,Mok_BRB_1,N,N,,,,,"45,351",,,,,,,,,,,,,,,,,,
EBMUD,Pearson,Lower Mok R,Mok_BRB_2,N,N,,,,,"45,351",,,,,,,,,,,,,,,,,,
EBMUD,Pearson,Lower Mok R,Mok_H99_1,N,N,,,,,"45,351",,,,,,,,,,,,,,,,,,
EBMUD,Pearson,Lower Mok R,Mok_H99_2,N,N,,,,,"45,351",,,,,,,,,,,,,,,,,,
EBMUD,Pearson,Lower Mok R,Mok_AWID_1,N,N,,,,,"45,351",,,,,,,,,,,,,,,,,,
EBMUD,Pearson,Lower Mok R,Mok_AWID_2,N,N,,,,,"45,351",,,,,,,,,,,,,,,,,,
EBMUD,Pearson,Lower Mok R,Mok_BWID_1,N,N,,,,,"45,351",,,,,,,,,,,,,,,,,,
EBMUD,Pearson,Lower Mok R,Mok_BWID_2,N,N,,,,,"45,351",,,,,,,,,,,,,,,,,,
EBMUD,Pearson,Lower Mok R,Mok_WB_1,N,N,,,,,"45,351",,,,,,,,,,,,,,,,,,
EBMUD,Pearson,Lower Mok R,Mok_WB_2,N,N,,,,,"45,351",,,,,,,,,,,,,,,,,,
