AutoNum,TagID_Hex,Time_in_ana,Time_out_anac,Weight,Length,Scales,Fins,Eyes,Ad_Clip,Time_out_surgery,Bleeding,Time_recovered,Surgeon,Data_Rec,Rel_group,HT_Temp,HT_DO,SB_Temp,SB_DO,Notes,DateTagged,FishID,TagID_Decimal,Fish_Type,Origin,StudyID,days_starved,Raceway,Length_Type,Knockout_conc,SurBath_conc,DNA,Tag_placement,Num_sutures,Suture_knot,SutureID,Tag_Weight,Sex,Life_Stage,Rel_loc,Rel_Lat,Rel_Lon,Rel_rkm,Rel_datetime,Tag_status_at_Rel,Last_detect_ref_rec,Manufacturer,TagModel,TagSN,PRI_nominal,PRI_estimate,WarrantyLife,CWT_code,TimeStamp,Release Notes,Tag Shed Y/N,Date Shed
17,CBBE,00-Jan-00,00-Jan-00,144.4,248,G,G,G,Y,00-Jan-00,0,00-Jan-00,AM,EF,SC_Lab_20220318,10.5,10.2,11.5,11.34,900067000196303,17-Mar-22,SJSH2022_TE-001,52158,Mokelumne_Steelhead,Hatchery,SJ_Steelhead_2022,4,TE_1,FL,90,30,N,TP,2,1X3,PDO 4-0,0.93,I,yearling,SC_Lab,,,,18-Mar-22,-1,,ATS,SS300,,,,,999,17-Mar-22,"Tag effects fish tagged and held overnight at Mokelumne Hatchery in trash cans identical to study fish. Fish transported in 2 120qt coolers from Mokelumne Hatchery to Santa Cruz Laboratory the following day, powered with two bubblers each. Supplemental ox",Y,12-Apr-22
16,6F8D,00-Jan-00,00-Jan-00,168.2,262,G,G,G,Y,00-Jan-00,0,00-Jan-00,AM,EF,SC_Lab_20220318,10.5,10.2,11.5,11.34,900067000195955,17-Mar-22,SJSH2022_TE-002,28557,Mokelumne_Steelhead,Hatchery,SJ_Steelhead_2022,4,TE_1,FL,90,30,N,TP,2,1X3,PDO 4-0,0.93,I,yearling,SC_Lab,,,,18-Mar-22,-1,,ATS,SS300,,,,,999,17-Mar-22,"Tag effects fish tagged and held overnight at Mokelumne Hatchery in trash cans identical to study fish. Fish transported in 2 120qt coolers from Mokelumne Hatchery to Santa Cruz Laboratory the following day, powered with two bubblers each. Supplemental ox",,
22,7B63,00-Jan-00,00-Jan-00,173.9,258,G,G,G,Y,00-Jan-00,0,00-Jan-00,AM,EF,SC_Lab_20220318,10.5,10.2,11.5,11.34,900067000196169,17-Mar-22,SJSH2022_TE-003,31587,Mokelumne_Steelhead,Hatchery,SJ_Steelhead_2022,4,TE_1,FL,90,30,N,TP,2,1X3,PDO 4-0,0.93,I,yearling,SC_Lab,,,,18-Mar-22,-1,,ATS,SS300,,,,,999,17-Mar-22,"Tag effects fish tagged and held overnight at Mokelumne Hatchery in trash cans identical to study fish. Fish transported in 2 120qt coolers from Mokelumne Hatchery to Santa Cruz Laboratory the following day, powered with two bubblers each. Supplemental ox",,
18,73D9,00-Jan-00,00-Jan-00,107.8,272,G,G,G,Y,00-Jan-00,0,00-Jan-00,AM,EF,SC_Lab_20220318,10.5,10.2,11.5,11.34,900067000196023,17-Mar-22,SJSH2022_TE-004,29657,Mokelumne_Steelhead,Hatchery,SJ_Steelhead_2022,4,TE_1,FL,90,30,N,TP,2,1X3,PDO 4-0,0.93,I,yearling,SC_Lab,,,,18-Mar-22,-1,,ATS,SS300,,,,,999,17-Mar-22,"Tag effects fish tagged and held overnight at Mokelumne Hatchery in trash cans identical to study fish. Fish transported in 2 120qt coolers from Mokelumne Hatchery to Santa Cruz Laboratory the following day, powered with two bubblers each. Supplemental ox",,
20,6D0F,00-Jan-00,00-Jan-00,172.3,261,G,G,G,Y,00-Jan-00,0,00-Jan-00,AM,EF,SC_Lab_20220318,10.5,10.2,11.5,11.34,900067000196078,17-Mar-22,SJSH2022_TE-005,27919,Mokelumne_Steelhead,Hatchery,SJ_Steelhead_2022,4,TE_1,FL,90,30,N,TP,2,1X3,PDO 4-0,0.93,I,yearling,SC_Lab,,,,18-Mar-22,-1,,ATS,SS300,,,,,999,17-Mar-22,"Tag effects fish tagged and held overnight at Mokelumne Hatchery in trash cans identical to study fish. Fish transported in 2 120qt coolers from Mokelumne Hatchery to Santa Cruz Laboratory the following day, powered with two bubblers each. Supplemental ox",Y,29-Apr-22
23,704B,00-Jan-00,00-Jan-00,131,241,G,G,G,Y,00-Jan-00,0,00-Jan-00,AM,EF,SC_Lab_20220318,10.5,10.2,11.5,11.34,900067000195906,17-Mar-22,SJSH2022_TE-006,28747,Mokelumne_Steelhead,Hatchery,SJ_Steelhead_2022,4,TE_1,FL,90,30,N,TP,2,1X3,PDO 4-0,0.93,I,yearling,SC_Lab,,,,18-Mar-22,-1,,ATS,SS300,,,,,999,17-Mar-22,"Tag effects fish tagged and held overnight at Mokelumne Hatchery in trash cans identical to study fish. Fish transported in 2 120qt coolers from Mokelumne Hatchery to Santa Cruz Laboratory the following day, powered with two bubblers each. Supplemental ox",,
15,C9C2,00-Jan-00,00-Jan-00,188.9,271,G,G,G,Y,00-Jan-00,0,00-Jan-00,AM,EF,SC_Lab_20220318,10.5,10.2,11.5,11.34,900067000195997,17-Mar-22,SJSH2022_TE-007,51650,Mokelumne_Steelhead,Hatchery,SJ_Steelhead_2022,4,TE_1,FL,90,30,N,TP,2,1X3,PDO 4-0,0.93,I,yearling,SC_Lab,,,,18-Mar-22,-1,,ATS,SS300,,,,,999,17-Mar-22,"Tag effects fish tagged and held overnight at Mokelumne Hatchery in trash cans identical to study fish. Fish transported in 2 120qt coolers from Mokelumne Hatchery to Santa Cruz Laboratory the following day, powered with two bubblers each. Supplemental ox",,
24,6F13,00-Jan-00,00-Jan-00,114.5,233,G,G,G,Y,00-Jan-00,0,00-Jan-00,AM,EF,SC_Lab_20220318,10.5,10.2,11.5,11.34,900067000195967,17-Mar-22,SJSH2022_TE-008,28435,Mokelumne_Steelhead,Hatchery,SJ_Steelhead_2022,4,TE_1,FL,90,30,N,TP,2,1X3,PDO 4-0,0.93,I,yearling,SC_Lab,,,,18-Mar-22,-1,,ATS,SS300,,,,,999,17-Mar-22,"Tag effects fish tagged and held overnight at Mokelumne Hatchery in trash cans identical to study fish. Fish transported in 2 120qt coolers from Mokelumne Hatchery to Santa Cruz Laboratory the following day, powered with two bubblers each. Supplemental ox",Y,09-Jun-22
19,71D7,00-Jan-00,00-Jan-00,120.8,235,G,G,G,Y,00-Jan-00,0,00-Jan-00,AM,EF,SC_Lab_20220318,10.5,10.2,11.5,11.34,900067000196302,17-Mar-22,SJSH2022_TE-009,29143,Mokelumne_Steelhead,Hatchery,SJ_Steelhead_2022,4,TE_1,FL,90,30,N,TP,2,1X3,PDO 4-0,0.93,I,yearling,SC_Lab,,,,18-Mar-22,-1,,ATS,SS300,,,,,999,17-Mar-22,"Tag effects fish tagged and held overnight at Mokelumne Hatchery in trash cans identical to study fish. Fish transported in 2 120qt coolers from Mokelumne Hatchery to Santa Cruz Laboratory the following day, powered with two bubblers each. Supplemental ox",,
14,CBFA,00-Jan-00,00-Jan-00,169.9,261,G,G,G,Y,00-Jan-00,0,00-Jan-00,AM,EF,SC_Lab_20220318,10.5,10.2,11.5,11.34,900067000196170,17-Mar-22,SJSH2022_TE-010,52218,Mokelumne_Steelhead,Hatchery,SJ_Steelhead_2022,4,TE_1,FL,90,30,N,TP,2,1X3,PDO 4-0,0.93,I,yearling,SC_Lab,,,,18-Mar-22,-1,,ATS,SS300,,,,,999,17-Mar-22,"Tag effects fish tagged and held overnight at Mokelumne Hatchery in trash cans identical to study fish. Fish transported in 2 120qt coolers from Mokelumne Hatchery to Santa Cruz Laboratory the following day, powered with two bubblers each. Supplemental ox",,
